solver;pc;N;np;L2;H1;time
gcr;cholesky;20;2;2.6552283141001833e-15;1.961676523879919e-12;1.46
gcr;cholesky;20;4;2.655228314100181e-15;1.9616765238799177e-12;1.47
gcr;cholesky;20;8;2.655228314100184e-15;1.961676523879918e-12;1.55
gcr;cholesky;20;16;2.6552283141001805e-15;1.961676523879918e-12;2.41
gcr;cholesky;40;1;2.655308303479541e-15;1.9587524026805786e-12;3.07
gcr;cholesky;40;2;2.655308303479565e-15;1.9587524026805774e-12;2.34
gcr;cholesky;40;4;2.655308303479554e-15;1.9587524026805802e-12;2.16
gcr;cholesky;40;8;2.655308303479558e-15;1.958752402680579e-12;1.96
gcr;cholesky;80;1;2.655314052509885e-15;1.9585583283059436e-12;12.29
gcr;cholesky;80;2;2.655314052509819e-15;1.958558328305943e-12;6.54
gcr;cholesky;80;4;2.6553140525098132e-15;1.9585583283059476e-12;4.62
gcr;cholesky;80;8;2.6553140525098132e-15;1.958558328305944e-12;3.81
gcr;cholesky;160;1;2.6553143962290924e-15;1.958602872170489e-12;75.63
gcr;cholesky;160;2;2.655314396229488e-15;1.9586028721705393e-12;29.26
gcr;cholesky;160;4;2.65531439622946e-15;1.9586028721705413e-12;17.55
gcr;cholesky;160;8;2.655314396229469e-15;1.9586028721705344e-12;12.99
gcr;lu;20;1;2.6552283141001794e-15;1.961676523879919e-12;1.46
gcr;lu;20;2;2.6552283141001837e-15;1.9616765238799185e-12;1.47
gcr;lu;20;4;2.655228314100182e-15;1.9616765238799177e-12;1.47
gcr;lu;20;8;2.6552283141001837e-15;1.961676523879917e-12;1.52
gcr;lu;20;16;2.655228314100182e-15;1.9616765238799177e-12;2.39
gcr;lu;40;1;2.6553083034795618e-15;1.9587524026805823e-12;2.99
gcr;lu;40;2;2.65530830347956e-15;1.9587524026805754e-12;2.48
gcr;lu;40;4;2.65530830347955e-15;1.9587524026805786e-12;2.08
