sg_1;sg_2;sg_3;sg_4;sg_5;f_1_r;f_1_i;f_2_r;f_2_i;f_3_r;f_3_i;f_4_r;f_4_i
0.0628;0.0;0.0;0.0;0.0;241.87815801;-0.0001064;10740.82333588;-0.03247847;-278.77542599;-0.00032004;19.17995334;0.10382423
0.0;0.0;0.0;0.0628;0.0;273.37459627;-0.00015132;3517.34850161;-0.0037104;-361.81853021;5.868e-05;871.96174401;-0.0044068
0.0;0.0942;0.0;0.0;0.0;87.60838912;-2.395e-05;-2561.78300927;-0.0017801;-922.73613115;-0.00052995;-499.19120246;-0.00063687
0.0942;0.0;0.0;0.0;0.0;-9102.00654676;-0.08457056;12847.17880518;-0.04482442;-446.63014375;-6.066e-05;351.39457526;-0.00165187
0.0942;0.0;0.0;0.0;0.0;-135.8603137;5.53e-06;8825.2348198;-0.02055159;-507.14948773;-6.278e-05;591.49160993;-0.0005664
0.2513;0.0;0.0;0.0;0.0;-68.37184314;1.108e-05;-457.9762014;-2.805e-05;-229.93064091;-1.128e-05;-150.58688543;-0.00062186
0.0;0.0;0.0942;0.0;0.0;680.13616251;-0.00057882;1412.21150113;-0.00053712;-722.03088667;-0.00059375;847.96243231;0.00410269
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.0;0.0;0.1571;295.94959981;-0.00020671;-1253.55045133;-0.00077651;-156.64387728;-0.00034336;851.55690984;-3.255e-05
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.0;0.0;0.1885;624.60482412;-0.0005144;-2746.36742002;-0.00180634;-355.21529226;0.0009482;-810.11115736;-0.02993146
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.2513;0.0;0.0;-237.22500938;-1.837e-05;-959.57097141;-0.0002495;-565.59129913;-5.954e-05;369.63905547;-0.00263924
0.0;0.0;0.0;0.1885;0.0;232.59120221;-0.00013587;-563.4853496;-0.00010935;347.94503377;0.00544586;707.73022043;0.00919802
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.0628;0.0;0.0;3539.10212643;-0.01250978;2653.03274352;-0.00183359;-757.46957626;-0.00027124;-178.38929767;-0.02598896
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.0;0.0;0.2513;-1532.12200143;-0.00052166;-449.36908326;-5.506e-05;-241.78238357;-5.738e-05;-655.59799752;-0.00506034
0.1885;0.0;0.0;0.0;0.0;29.63217796;-6.63e-06;-43968.04375399;-0.58748618;5048.54664872;-0.02244974;413.18125323;-0.00117141
0.0;0.1257;0.0;0.0;0.0;-769.03910915;-0.00050938;-1546.58659505;-0.00059465;373.10570245;0.0068588;86.30898678;-0.00612371
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0942;0.0;0.0;0.0;166.37372098;-6.142e-05;-3953.99902495;-0.00449718;-802.20253973;-0.00023921;819.85387443;-0.00265617
0.0;0.1885;0.0;0.0;0.0;-93656.18811409;-10.14497401;-7018.35640809;-0.01333303;-613.19415432;-0.00023198;168.53938205;-0.00059433
0.1885;0.0;0.0;0.0;0.0;-228.13003475;-1.053e-05;1634.65447435;-0.00072782;-424.19263517;-2.074e-05;322.75570065;0.01036592
0.0;0.0;0.0;0.0;0.2199;570.29634409;-0.00044874;21810.9012754;-0.12919691;-332.27642545;0.00012999;91.82844063;-0.01481191
