sg_1;sg_2;sg_3;sg_4;sg_5;f_1_r;f_1_i;f_2_r;f_2_i;f_3_r;f_3_i;f_4_r;f_4_i
0.1257;0.0;0.0;0.0;0.0;796.90783068;-0.07660056;1896.13267553;-0.05052179;-744.84649244;-0.01789941;572.81200992;-0.0225711
0.0;0.1885;0.0;0.0;0.0;539.97047679;-0.03476309;2410.24555635;-0.15257044;-935.05546968;-0.03108792;603.89096304;0.32476545
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0942;0.1885;0.1571;0.0;0.0942;2913.04161021;-2.52452412;40631.35849688;-122.9960357;-556.68278406;-0.05011158;-4160.43606642;-20.98066867
0.1885;0.1885;0.0;0.0;0.0;-441.52361107;-0.06377276;624625.77500558;-22665.25219094;-628.67670007;-0.02890102;1242.71455983;-0.74708274
0.0;0.1257;0.0314;0.1571;0.1571;1260.80094695;-0.29250635;4264.97841181;-1.20529946;-512.09310161;-0.03978207;25016.69769309;-776.5135706
0.0;0.0;0.1885;0.0;0.0;1341.14961519;-0.22144848;2895.34854417;-0.23045963;-643.70580499;-0.01308678;1346.88346366;5.21405874
0.2199;0.1571;0.2199;0.0;0.0;-6054.13776952;-12.75517845;-20198.01522193;-36.07143466;-536.37445585;-0.0227042;-1905.20235123;-4.80945082
0.0;0.0;0.0;0.0;0.0314;405.23289878;-0.00025164;1446.43034775;-0.00053185;-840.89367438;-0.00026812;519.07912317;-0.00031976
0.1885;0.2199;0.0;0.1257;0.1571;-391.17132678;-0.02962421;-3804.2179263;-1.45463462;-420.385496;-0.02110704;-204.51077599;-6.38704099
0.1885;0.0;0.0;0.0;0.0942;-649.71505015;-0.10864385;2559.9698738;-0.22807058;-716.50038606;-0.02815812;-4492.03954716;337.86844304
0.0942;0.0;0.0;0.0;0.2199;1666.00024359;-0.42158648;2762.26595409;-0.35059566;-504.04268467;-0.03086093;988.12982698;-0.47408462
0.0;0.1885;0.2199;0.0;0.2199;-12905.02426921;-36.02792949;-16186.54514162;-22.67396963;-518.96617025;-0.02318341;-2192.27566491;-7.06987312
0.0;0.0;0.1885;0.0;0.0;643.39440659;-0.04160138;2087.69709293;-0.10118354;-791.24948437;-0.01810934;596.52769011;0.08014339
0.0;0.1571;0.0;0.0;0.0;502.28575909;-0.02419899;2714.16063735;-0.18204421;-791.89247621;-0.02015871;665.95922921;-0.06616076
0.1257;0.1885;0.0;0.0;0.1885;12611.01591474;-43.92377786;-17762.15593707;-25.28189296;-567.88916089;-0.09607675;12042.61612061;-158.9690659
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.2513;0.0;0.0;0.0;2220.12813448;-1.01321803;2737.43061105;-0.25365861;-800.55743865;-0.02680192;1018.28342462;0.12828063
0.1571;0.1885;0.0314;0.0;0.1257;595.29505348;-0.09456643;6633.90756996;-3.03247166;-537.19266613;-0.02247321;-18448.39420065;-377.93721524
0.0;0.0;0.1257;0.0;0.0;589.55966632;-0.02460365;1504.2586535;-0.02143549;-802.31530244;-0.01113851;545.32846451;-0.00574714
0.2513;0.1257;0.0;0.0;0.0;-949.45025195;-0.30915227;13358.95730083;-10.18700924;-613.72095365;-0.02797521;1371.21712464;-1.24367187
0.2513;0.2827;0.0;0.1571;0.0;-521.89876319;-0.10040417;104683.86682267;-957.5234364;-426.1635227;-0.02680547;-265.12787813;-14.47173703
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.2199;0.0;0.0;1401.49417186;-0.27904117;1941.67653509;-0.0968774;-752.58839326;-0.02237573;958.88254942;0.6933578
0.0314;0.0;0.0;0.0;0.0;405.23289878;-0.00025164;1446.43034775;-0.00053185;-840.89367438;-0.00026812;519.07912317;-0.00031976
0.1257;0.0;0.0;0.0;0.0;1011.30110303;-0.13031165;1917.11330628;-0.05178155;-779.79216003;-0.01608614;567.09898534;-0.04554821
